sig,formid,editor_id,n,cells,cx,cy,rg_units,hull_cells2
STAT,00028A73,NorTmpExtDebris07,24,21,-52163,37743,97903,1741.9
STAT,000B0171,RoadChunkM02FallForestDirt01,24,14,154304,-93715,28712,209.1
STAT,000B0158,RockPileS01FallForestGrass01,24,17,156996,-85492,20405,97.3
SOUN,000ABF1B,AMBWaterTundraVolcanicPoolsLP,24,20,129301,-21821,12070,39.7
STAT,000B233F,OrcAwningPartitionA01,24,8,17303,-46548,140238,1433.7
STAT,0001F1C8,RockPileL04ReachDirt01,24,23,-124055,28299,80042,1326.5
STAT,0008CC93,DweCivWarWallEndcap01,24,7,-150186,2724,27537,119.2
STAT,00056AD9,DirtCliffsIsland01Moss,24,21,-124051,-8995,25940,215.0
CONT,0001CD63,TreasRuinsUrnSmall01,23,19,-11953,29215,113566,3109.7
MSTT,00054173,SpitPotOpen01,23,20,42215,6056,124940,3591.2
STAT,0008E5FE,WeaponRackEndCap,23,7,73653,-18124,101799,1103.6
STAT,0006F741,ImpExtIceRubble04,23,12,34413,32077,113742,1983.4
STAT,0004287B,FXSnowDriftFlat04,23,11,86841,88611,55527,326.9
ACTI,00018425,PortGatePoleDwemer,23,3,52037,53864,48599,182.1
STAT,000C2C16,CrateSmallLong01Weathered,23,19,93816,65120,105837,2938.8
ACTI,000799B7,TrapBoneAlarmVertical,23,10,-11701,-4386,122840,1929.0
STAT,000E758D,FrozenMarshIceFloeL01,23,20,80114,53798,80767,319.7
STAT,0005CCE0,ShackWall03,23,15,-5555,-12778,103935,1794.3
STAT,0006F769,ImpExtIceBldgMid02,23,5,-76231,60977,112527,205.7
STAT,000AD23A,ImpExtStairs03,23,12,14462,-14297,113651,1307.6
STAT,000ACAFF,HagravenDeadSkeeverPole01,23,18,-65686,7639,113806,2146.8
STAT,000ADFFB,RockPileS01FallForestDirt01,23,20,139234,-90277,32407,211.2
STAT,000ACB27,HagravenHangingBall02,23,11,-70055,-21140,107468,2102.2
STAT,0001F1C5,RockPileL02ReachDirt01,23,21,-142705,21915,40324,324.8
STAT,00039ECC,RockPileS04ReachDirt01,23,17,-146435,36867,40946,257.7
CONT,00020654,TreasForswornChest,23,19,-123531,-1029,48933,476.6
ACTI,00079922,TrapFallingRockSm01,23,4,-76549,-60992,55652,58.6
STAT,0010C4D1,INV_SkyrimCloudDistant01,22,22,-59089,-7459,118125,3314.1
STAT,00031331,TundraPond01Tundra01,22,20,-28609,-1067,27897,144.8
FURN,000CAB95,DragonMound,22,22,10247,-4822,120193,2688.6
FURN,0002E6CF,CommonBench01,22,11,67013,-36349,116659,1342.4
WEAP,0006A0B9,DummySword,22,21,-24989,6542,119126,3044.8
MISC,000747FB,Bucket02a,22,18,39714,35723,122953,2128.4
CONT,000A918C,BeeHive,22,19,12780,-40629,75971,1231.9
ALCH,00057A7A,Skooma,22,7,-5342,80711,97339,873.2
STAT,000C1FBC,RockPileM02FieldGrass01,22,20,-70063,45252,38885,167.4
STAT,0004D715,DirtCliffsCornerIn01FieldGrass01,22,22,-59722,14642,59843,544.6
STAT,000531B4,RockCliff08Snow_LightSN,22,20,28873,-24080,92462,1975.5
STAT,0009B77D,NorExtRubblePile07_HeavySN,22,19,31843,33161,86426,1972.5
STAT,0007516E,RockCliff07SnowRocks01_LightSN,22,21,685,-6738,132142,2614.1
STAT,0001DA56,RoadStrToCurveRampL01,22,18,-34434,44306,98180,1804.1
STAT,0004F518,TreePineForestStump01Blank,22,22,20729,30822,114170,1571.8
FLOR,000ECE9A,TreePineForestHollow01BMoraTapinella,22,22,20386,-28080,102449,1702.3
STAT,0002ED73,RockCaveEntrance01Rocks01Snow,22,22,25733,20391,112106,2527.2
ACTI,000F0874,CWMapActivator02,22,19,13384,5442,123228,2758.5
STAT,0006F733,ImpExtIceBldgStraight04,22,12,-160,25725,119596,1824.7
STAT,0008976A,RockCliff08VolcanicDirt01,22,20,132887,-15736,17859,81.5
STAT,00089764,RockCliff02VolcanicDirt01,22,20,130609,-12523,19665,102.3
FLOR,000EC875,TreePineForestStump02AMoraTapinella,22,22,16797,-26551,111089,2547.7
STAT,00052B4E,DwePlatCorOut01,22,8,-85643,15194,97660,691.0
STAT,0005E833,NorTmpExtPlatCorOut01_LightSN,22,12,-41719,86645,105563,1875.2
ACTI,000D961C,dunCGEnableDisableTrigger,22,4,16961,-80967,2502,0.9
STAT,00013976,DirtCliffsCornerIn01,22,16,4391,-45953,29030,73.7
STAT,0003E224,ImpStoneBlock04,22,5,69837,-37827,40291,110.3
STAT,000ACB01,HagravenDeadSpriggan01,22,15,-22503,-577,134155,2093.8
STAT,000ACB07,HagravenHouseBones01,22,21,-78648,-7428,112218,2080.1
MISC,00104B40,BasicKnife01,22,21,67853,-17782,126749,2796.0
STAT,000669D2,RoadCurve90R01FallForestDirt01,22,19,113647,-80230,38646,199.9
STAT,0005511E,DweFacadePartitionRoof01,22,7,29295,-25313,162727,1179.2
STAT,0001AE1B,StockadeTower01,22,18,-34102,-19776,116872,2043.3
ACTI,0006B45C,critterSpawnDragonflies24x7,22,17,117870,-16900,12026,31.0
STAT,00057D6E,MountainCliffSlopeReachDirt01,22,21,-139090,43883,36153,340.2
LIGH,0002EE00,BleakFallsDraugrTorch01NS,21,13,54222,-23831,118645,2343.1
STAT,0002630E,SkyrimCloudDistant02,21,21,39209,-28868,159270,4858.0
STAT,000368C4,RuinsFloorCandleLampSmallOff,21,14,-13160,-1014,132799,3125.5
STAT,00044B95,NorExtWallBg1WayCurve01,21,12,-33437,33653,57903,808.3
MSTT,000CD823,FXfireWithEmbers01_lite,21,13,-3395,-10102,131199,2563.2
MSTT,0002F5B2,FXcobwebDangle01,21,15,16470,79,96315,2035.7
STAT,0006F758,ImpExtIceWall02,21,13,3914,38152,110069,1541.4
STAT,0002A295,StockadeStairs01Light_SN,21,7,52881,7465,70082,397.9
STAT,000B2422,RoadCurve90R01Snow,21,16,56537,14405,104160,1973.0
STAT,0006F742,ImpExtIceRubble05,21,12,24061,50382,115996,1878.7
STAT,0006F73D,ImpExtIceFloorChunk02,21,7,13359,4261,107190,1417.6
WEAP,0006A0BD,DummyBow,21,21,2544,9683,110143,2730.4
STAT,00036AC5,DweRubblePile07,21,14,62537,-11095,142611,1933.3
STAT,0004286D,FXSnowDriftFlat01,21,12,71573,71294,65074,447.6
CONT,00097F66,MiscSack02Small,21,17,29236,-11276,115236,2862.8
STAT,00099524,NorExtRubblePile08_HeavySN,21,18,43942,44269,83381,2225.0
STAT,000396A5,RockPileL03WetCoastBeach01,21,19,77650,99713,65024,1219.6
STAT,000533D8,StockadeWoodplanks04,21,12,-76192,29209,99627,1976.4
STAT,0003962F,RockPileM02Wet,21,10,40818,33031,68674,723.3
STAT,000BB8C3,RockM03Wet,21,21,-3046,32583,112446,2852.7
SOUN,000DCE8A,AMBWaterBoatLapExteriorSmallLP,21,15,32018,35776,133259,2766.0
SOUN,0002D3BC,AMBWaterfallSplatterLarge,21,19,-15914,-18287,113065,1877.4
SOUN,0001BA13,AMBWaterfallSplatterMedium,21,17,-19096,-24685,114674,2461.0
STAT,00016D5F,DirtCliffs03,21,16,9715,-45546,27552,97.7
STAT,00028A72,NorTmpExtDebris08,21,17,-25541,3723,90434,1348.2
STAT,00107A1D,Ivy01,21,10,15180,-45725,74111,978.3
FLOR,0004DA03,FloraMushroom01Small,21,12,-23049,-16213,91643,1652.8
STAT,0005CCE1,ShackWallDoor01,21,17,12969,-27010,109093,1913.3
STAT,000ACB06,HagravenHouse03,21,14,-105730,3049,65347,739.7
STAT,000ACB00,HagravenDeadSkeeverPole02,21,16,-36976,9235,129179,2153.2
STAT,000ACAFE,HagravenDeadGoatPole02,21,18,-63117,4599,122604,2522.6
STAT,00022665,RockPileL04RiverBottom01,21,17,108688,33326,98258,1425.2
STAT,00039EC4,RockPileS03ReachDirt01,21,16,-85395,12970,111339,632.1
STAT,000B0157,RockPileS02FallForestGrass01,21,12,165693,-90808,25300,118.9
STAT,000ACB2B,HagravenTusks01,21,13,-99246,-4421,94526,994.8
STAT,000ACB32,HagravenFence01,21,17,-103993,6714,80374,1764.8
STAT,00026F78,NorTmpExtPlatMid02,21,12,-104993,-6739,111357,1382.0
STAT,00028A8B,NorTmpExtPlatTower01,21,15,-134612,-9873,64260,928.2
STAT,000B01D7,RockPileL02FrozenMarshGrass02,21,19,-41768,83785,20283,84.6
STAT,0010C4A1,INV_SkyrimCloudShape03,20,19,26907,35356,121294,2983.3
STAT,0010C4AD,INV_SkyrimCloudShape01,20,20,7747,32489,123650,2484.7
FURN,00036ED3,Bedroll01,20,13,14880,-8661,115233,2260.9
TXST,000BB989,DecalGiantSymbols01,20,6,70127,-29583,88280,600.4
ACTI,0010D05F,MineOreIron02_LSnowRocks,20,20,69864,42324,75361,1658.4
STAT,0006E0ED,MountainCliffSlopeTundra01,20,20,-61893,19859,46555,347.6
STAT,0005CCC1,ShackFrameREnd01,20,16,-24670,-26920,87698,1375.5
ALCH,0003EADD,RestoreHealth01,20,15,13150,6610,102173,2367.5
MISC,0005ACE4,IngotIron,20,4,18549,24992,65580,492.6
STAT,0003E231,ImpRubblePiece03,20,12,60750,-70599,90931,1010.7
STAT,0003E233,ImpRubblePiece05,20,12,43002,-49885,95403,1355.4
STAT,000B0FA0,StockadeWoodplanks01_LightSN,20,8,31011,90481,84116,327.6
STAT,0006F744,ImpExtIceStairs01,20,16,-18404,41303,118507,1931.2
MSTT,000BCCB7,FXAmbGentlyFallingSnow00,20,16,23160,44581,67320,1412.8
STAT,0005C10C,MountainTrim02Rocks01_LightSN,20,19,-10400,27849,125769,3895.4
WEAP,000E3C16,weapPickaxe,20,18,63410,-29471,134254,2836.2
STAT,00096C3F,BoneMammothSkull2Snow,20,12,34110,43543,55712,834.9
STAT,00098498,NorExtWallBgStairR01Snow,20,13,-17232,47884,18319,34.8
STAT,000765F5,DweRubblePile01Snow,20,11,72541,35261,77350,1073.9
STAT,0006F15B,Stonewall02Snow,20,12,30058,19407,115398,1831.9
ARMO,00012EB6,ArmorIronShield,20,17,26329,5641,106840,2555.5
STAT,000396AA,RockPileL02WetCoastBeach01,20,20,58494,113327,47909,246.3
STAT,000513B8,ImpExtBldgSecondCorner03,20,10,29655,-27319,99612,1120.8
STAT,0003F978,ImpExtBldgCorner03,20,11,75490,-48302,72212,972.7
WEAP,00013983,SteelWarAxe,20,12,31283,27322,107698,1851.9
STAT,0008976F,DirtCliffsCornerIn01VolcanicDirt01,20,19,136393,-14410,15792,59.6
STAT,00090CC8,StockadePike01_LightSN,20,5,124631,8556,63327,331.7
STAT,00074CDD,DwePlatMid01LightSnow,20,1,99193,76079,481,0.0
STAT,0005C10B,RockPileM02PineForest01,20,15,-36067,-10700,87069,624.9
STAT,0006E03F,MountainCliffSlope_LightSN,20,20,-30535,20615,110028,2326.2
STAT,0004D7B1,WalkwayStairs4,20,14,-36447,-7357,118653,1937.0
STAT,000009A1,StonewallEndR01Ivy,20,9,-8475,-67325,34388,22.3
STAT,00107A1E,Ivy02,20,11,-12618,-42840,76991,925.4
STAT,000533D2,StockadeWoodbeam03,20,7,96751,-78840,85095,612.7
STAT,0005D0DF,MountainTrim01RiverbedEdge01,20,19,10669,-56986,54637,153.1
STAT,0006EAAA,WRFenceBaseCor01,20,7,27469,-11798,8992,10.6
STAT,000ACB03,HagravenHangingBall01,20,12,-72446,-22381,115887,2096.6
STAT,00054629,StockadeBuildingEnd01,20,4,-96737,-12239,77911,15.2
STAT,00050960,RockCliff05FallForestGrass01,20,20,134962,-90184,41241,349.5
ALCH,00064B40,FoodCarrot,20,12,7896,10818,124944,2067.0
STAT,0007A610,CrateSmallLong04,20,14,-9363,57153,108455,2492.7
STAT,000713C6,VolcanicSteamPool01,20,19,131376,-17015,14198,58.6
STAT,000885AF,RoadChunkM03ReachDirt01,20,15,-137482,25830,28895,151.2
STAT,00058F04,RockPileM02ReachMossyRocks01,20,16,-131470,8637,41126,269.3
SOUN,000D4048,AMBrFrogsReachNight01RadLP,20,20,-123358,13989,43717,355.9
STAT,000ACB05,HagravenHouse02,20,16,-120194,14997,40680,376.5
STAT,00027430,SkyrimCloudDistant05_50,19,19,31181,-54061,170224,5379.2
STAT,0001751F,SkyrimCloudDistant05,19,19,-52390,-22732,145784,3254.6
ACTI,000713C5,Water1024Volcanic,19,9,132356,-21827,14478,30.3
FURN,000CAE0B,CraftingBlackSmithForge,19,19,-16091,-7254,126749,3197.6
FURN,000D873D,Wounded02FloorMarker,19,18,13696,3468,109777,2539.0
WEAP,00020163,DummyDagger,19,19,-12341,13839,125128,3292.4
FURN,0003B072,CommonChair01LR,19,10,82169,-5943,117838,1601.0
TXST,00064806,DecalFlameBurnPlacedLarge01,19,4,69744,2100,140556,568.9
STAT,000273D9,SkyrimCloudShape02,19,19,39213,19986,126534,3543.0
STAT,0002521F,NorDwelling03ExtPylons01Snow,19,15,53616,65008,82357,588.9
STAT,000533BF,StockadeScaffoldTop3Sided01,19,12,98246,-64441,100139,1348.9
STAT,0005CD75,ShackRoofSide03,19,14,16113,-33251,102457,1559.5
STAT,00063F97,WRScafStr02,19,5,18474,-4378,7882,4.5
STAT,00017EDE,NorTowerRuins01,19,17,-60833,-10167,107155,1511.9
STAT,0002BAB8,RockCliff05,19,18,3120,-8099,109828,2363.8
STAT,000455D2,MineScaffoldRope06,19,12,1632,44167,101947,1921.8
MISC,000747FE,Bucket02b,19,18,-19579,11197,132608,2534.6
STAT,0007F94E,SnowDriftSm03,19,13,-13205,32102,113520,2129.8
LIGH,000B15EE,LightForgeFire01,19,19,-25822,-17516,119043,2777.3
STAT,0006F735,ImpExtIceBlocks02,19,12,-19152,19314,124253,1710.6
MSTT,0002F25B,FXAmbSnowBlowingSmInt,19,11,42551,17063,49139,294.3
STAT,0002EE90,RockL02SnowCustom02,19,15,40482,50433,27096,115.5
STAT,0006DD68,DweFacadeTowerRoof02Snow,19,12,76814,45825,84753,380.0
STAT,00019B15,HayScatter01,19,11,49174,-18870,103140,1531.7
ACTI,0010D05E,MineOreIron02_LRocks,19,19,72473,-16829,117763,2222.9
STAT,0006DD65,DweFacadeTower03Snow,19,6,87410,33107,105005,116.6
STAT,0007A605,CrateSmallLong01,19,14,19603,14490,123730,1919.2
STAT,000B242E,RoadStraightLongRamp01Snow,19,14,-1041,51872,114538,1633.3
STAT,00039DF9,NorDragonStatue01,19,14,-7512,-17925,109263,1945.3
STAT,00091A0F,WalkwayStairs4Snow,19,10,52084,91293,50898,470.1
FLOR,00034D30,HangingGarlicBraid,19,17,4431,-18636,136448,3686.9
STAT,000BB8C4,RockM04Wet,19,11,-41536,45144,111374,2252.9
STAT,0007F948,SnowDriftSm01,19,13,51463,62335,98624,1031.7
STAT,0001EF6D,RockCliff05Rocks01,19,19,6587,-6507,102975,2305.9
STAT,0003F812,RuinsAltarBroken,19,19,-28215,5984,113236,2081.4
STAT,00026FD7,NorTmpExtPlatStairMid01Snow,19,11,15452,-23522,80034,1306.0
MISC,00034CD6,RuinsLinenPile01,19,8,-61679,36744,91215,1428.5
STAT,00065CA3,GlacierRubbleTrim01_LightSN,19,17,97784,94503,20649,76.5
STAT,0001D4AD,NorPlatWall01,19,4,56978,-11302,69664,287.6
MSTT,0002C68A,FXDrips01,19,9,16656,65543,101195,2021.9
STAT,00017CD2,TundraPond01Coast1,19,19,96403,119818,82562,777.0
STAT,0004F8EC,ShipWoodplanks04,19,6,128079,35429,120728,1738.9
STAT,00022468,Bridge01,19,19,9088,-1817,101167,1773.8
MSTT,000F046B,MineralPoolBigWater02,19,17,127550,-15736,14340,47.3
STAT,0003F976,ImpExtBldgCorner01,19,12,-1222,-38255,111169,1957.8
STAT,0005CCDE,ShackWall01,19,13,-21908,7508,92637,1643.3
STAT,00107A1F,Ivy03,19,11,9255,-48668,76484,983.9
STAT,00052F68,RockPileS01RiverbedEdge,19,16,34551,-63414,63215,267.6
STAT,000533D7,StockadeWoodplanks03,19,10,-70471,31581,84869,1491.0
ALCH,000669A5,FoodLeek,19,8,14904,-881,94233,1131.5
STAT,0002FB63,ShackBrokePole02,19,7,67531,-16525,86480,1149.0
STAT,000C691A,RockPileS04FallForestDirt01,19,17,125809,-82187,49221,237.2
STAT,001091F0,FXWaterfallBodyTall02_static,19,14,66585,-33024,70212,695.2
STAT,0003F1F9,ImpExtTower01,19,9,48903,-31709,110401,1231.7
STAT,00028A8D,NorTmpExtPlatTowerBridgeFree01,19,13,-110419,-1156,92844,1349.7
STAT,000AE62E,DockStrSol01,19,10,-47829,75399,79015,1060.9
STAT,0007A083,RockCliff01ReachDirt01,19,19,-142163,18750,36490,355.9
STAT,000B010B,DockColStr01,19,5,-66645,94956,2379,1.1
FURN,000D873E,Wounded03FloorMarker,18,18,14384,19160,111147,2598.9
FURN,000D8738,Wounded01FloorMarker,18,18,18414,9221,112262,2540.1
DOOR,0002ABAC,NorDoorSmLoad02,18,17,-19013,44149,123635,3221.1
DOOR,00037CFE,MineDoor01Load,18,18,17063,-12853,145835,2831.5
STAT,00066AF6,ArcheryTarget,18,10,-44349,-12546,93990,1596.3
STAT,00017520,SkyrimCloudDistant04,18,18,48157,-31843,160456,4490.5
DOOR,0004203A,ImpDoorSingleLoad01,18,10,-8699,-12670,100595,1365.5
FURN,0009C6CE,CraftingSmelterMarker1,18,18,-6744,23071,134481,2514.2
IDLM,000FA6E4,ChickenFeedingMarker,18,18,39890,-10481,129342,2768.4
STAT,000A9294,GiantObeliskBlue02_MountainSlab,18,16,32906,-1091,82006,814.7
STAT,000533D4,StockadeWoodbeamShort02,18,11,38202,-30503,143007,1472.4
STAT,0005CD77,ShackRoofSide02,18,13,-16745,-16893,93028,1431.6
STAT,0005CCC8,ShackFrameLEnd02,18,13,-9790,-26089,92028,1736.3
STAT,00063FAA,WRScafRampTransTop,18,8,18561,-4895,8345,6.5
CONT,0008A3B4,TreasCWImperialChest,18,18,14754,12017,116505,2903.8
STAT,0001542D,TundraStreamBend01Tundra01,18,18,-32324,5465,36230,227.7
CONT,0002064F,TreasBanditChestBoss,18,18,40012,28400,102826,2761.2
ALCH,00064B3B,FoodSalmonCooked,18,11,41110,3118,125591,2574.3
STAT,0003925E,RockTundraLand03Tundra01,18,17,-7703,7740,60926,422.6
STAT,0006F73B,ImpExtIceDoorhole01,18,14,7079,54171,105854,1895.7
STAT,00074CE8,DwePlatBgStairSingle01SnowLight,18,6,88354,42060,29551,122.4
STAT,00076924,NorExtRubblePile03_HeavySN,18,17,35124,28318,104534,2646.0
STAT,00055120,DweFacadeTower01,18,10,60237,-22304,156291,2301.0
INGR,00077E1C,MountainFlower01Blue,18,11,6598,-2522,108305,2264.8
STAT,0002A2A0,StockadeScaffoldRamp01Light_SN,18,9,16562,80435,114824,1867.0
STAT,00059D5C,DwePtnWall01,18,7,75709,46369,62321,274.6
CONT,000AF6AE,TreasAlchemySatchelUncommon,18,18,-32324,-3072,113042,2730.1
STAT,00091A05,WalkwayStairs8Snow,18,7,-21692,78794,40527,194.9
STAT,0005C015,PeltFloor01,18,16,-24393,14486,124563,3074.7
STAT,0003F926,RockTundraLand01FieldGrass01,18,17,-33477,7925,59143,530.2
STAT,0003F977,ImpExtBldgCorner02,18,12,79225,-57859,80828,1120.7
STAT,00034CD8,RuinsLinenSheet01,18,13,56310,-1399,131720,2519.4
STAT,0001CD87,Road3way01,18,17,26169,-25488,90576,1595.0
STAT,000B244D,RockPileL02Rocks01Light_SN,18,17,39297,35469,140176,2803.1
STAT,00070BBC,CivilWarTable01,18,18,15478,12901,111356,2517.7
STAT,0001C0C0,HandCart01,18,16,26982,-5551,132563,2557.7
STAT,000C7930,BoneHumanRibcageFullStaticSnow,18,15,30751,47013,111034,3278.7
STAT,00036AC4,DweRubblePile06,18,16,8292,9726,153444,2327.6
STAT,0005EB21,RockCliff06SnowLight,18,17,74509,28130,100871,1995.4
STAT,0006CFCE,NorRubblePiece03snow,18,11,68801,2396,89262,287.3
STAT,000BBA00,RockPileM03Rocks01,18,18,25581,-4264,141401,2217.0
STAT,0008E2C0,IcebergSmall01_HeavySN,18,15,118784,93057,35458,243.5
STAT,000C9B57,ImpExtIceBlocks01_NoIce,18,6,78846,-17994,69727,19.8
STAT,000E6477,ImpExtIceRubble04_NoIce,18,5,79722,-20103,69917,17.2
STAT,000E6475,ImpExtIceRubble02_NoIce,18,5,34707,-63935,52921,21.2
STAT,0000099F,StonewallEndL01Ivy,18,6,-5551,-65505,34427,21.3
STAT,00054C38,RockPileM02FieldGrass02,18,14,-17770,-15232,98546,1025.7
STAT,00078628,HHSteps13_HeavySN,18,10,58256,-61852,12645,32.3
STAT,00079F9D,HHSteps17_HeavySN,18,7,49286,-46455,14406,23.9
STAT,0005DB00,RockPileL01PineForest02,18,18,8807,-19262,113050,1757.8
STAT,00034CD9,RuinsLinenSheet02,18,11,17894,9176,126857,1799.8
STAT,00055125,DweFacadeTowerRoof01,18,11,-111562,21468,127581,1631.4
MSTT,000E4E24,FXDweSteam01Short,18,13,120666,-21164,10555,21.3
CONT,0010CD5B,BarrelFish01,18,3,168055,-95140,2141,0.5
STAT,00089454,RTLeaves02,18,6,152786,-87271,85969,153.3
STAT,00055A6D,DirtCliffs03ReachGrass01,18,18,-137770,37036,42563,347.6
STAT,000885AC,RoadChunkM04ReachDirt01,18,15,-145205,18487,23983,104.7
STAT,00056AE2,RockPileL01ReachMossyRocks01,18,16,-131545,7096,51521,331.4
STAT,0010C4CB,INV_SkyrimCloudDistant02,17,17,-12966,-28450,136167,2017.1
STAT,0002630D,SkyrimCloudDistant01,17,17,30198,-29442,111737,2526.8
DOOR,0004D6ED,RiftenDoorLoad01,17,10,167710,-94404,21884,74.3
CONT,00054175,SpitPotClosed01,17,17,-19323,13706,128369,3003.4
DOOR,0002ABAB,NorDoorSmLoad01,17,16,-47279,54,103498,1940.3
ACTI,0003AC83,Water1024,17,17,67054,-61539,130863,2045.6
ARMO,0006A0B1,DummyShield,17,17,-27061,36503,107340,2339.9
MSTT,0002BEBB,CivilWarBannerStorm01,17,14,13200,-16110,80682,1442.5
MISC,000319E5,WoodenLadle01,17,17,22823,2919,112426,2560.1
STAT,0009B8CD,TreePineForestCutStump01Heavy_SN,17,11,36134,56020,50453,167.3
STAT,0003E22B,ImpWoodbeam05,17,6,33910,48406,107264,806.9
STAT,0007660B,DwePlatBgWall01Snow,17,7,74347,32504,44714,101.5
STAT,00055124,DweFacadeTowerBase01,17,14,-7455,21525,142075,2348.4
STAT,0009E2F4,ExteriorWoodenTable01snow,17,15,-24157,84789,116101,2052.6
MSTT,0003BC3E,RuinsPot01,17,12,16585,35291,115752,1753.8
FLOR,00034D2C,HangingFrostMirriam,17,16,-23682,4728,111261,2925.2
ACTI,0010D066,MineOreIron04_LTundraRocks,17,17,-56850,15537,41327,357.7
STAT,0001C0C5,HandCart02,17,16,47555,8941,106130,2410.5
STAT,000C792E,BoneHumanSkullFullStaticSnow,17,13,12429,39507,105840,2571.6
STAT,000396AB,RockPileL01WetCoastBeach01,17,16,68349,102845,61432,1221.9
STAT,000302C8,NorBridgeWoodPlanks01,17,6,65427,-10584,92187,616.8
STAT,000BD4A6,RockCliff07CoastBeach01,17,14,7721,110965,98658,685.6
MSTT,00105CC2,FXWaterfallThin2048x512,17,14,61405,-32121,82499,1570.2
STAT,0008976E,DirtCliffs03VolcanicDirt01,17,15,130564,-14130,16905,56.6
STAT,00089E5B,MountainCliffSlopeVolcanicDirt01,17,17,124974,-11025,19720,85.2
STAT,00074EBC,DweClutterColmLarge01,17,11,-31660,-5791,162585,2664.9
MISC,000F5D06,Shovel02,17,15,28671,9676,134937,1797.1
STAT,00054C44,RockPileM01PineForest01,17,17,-81325,41908,68642,594.3
STAT,00028A74,NorTmpExtDebris06,17,15,17630,-25854,124770,2455.0
STAT,00017F19,RockCliff08,17,16,-1146,-22713,110530,2014.8
INGR,0003AD66,HagravenFeathers,17,8,27380,-23460,109129,1233.8
STAT,00079F98,HhSteps06Narrow_HeavySN,17,8,58319,-62628,12122,21.5
STAT,0003E222,ImpStoneBlock02,17,3,54950,-33085,48204,14.2
MISC,000F2012,WineBottle01AEmpty,17,7,-54481,95901,112791,2784.6
STAT,00041A88,MountainCliffSlopeReachMoss01,17,16,-140155,43738,25154,127.3
STAT,0006A8C8,DirtCliffsCornerIn01ReachGrass01,17,17,-144869,35643,31905,228.1
ACTI,000524DD,MS09NonCombatTrigger2,17,4,-144182,117401,1472,0.4
ALCH,000EBA03,FoodClamMeat,17,1,-153739,112050,67,0.0
STAT,000D3C41,MineScaffoldFreeRopeEnd01_lightSNstock,17,2,-143653,105054,243,0.0
STAT,000B0188,DirtCliffsIsland01FrozenMarshGrass01,17,15,-49772,81303,16145,63.6
STAT,000993D5,NorHitchPost02Snow02,17,4,-76753,68562,72474,32.8
STAT,0010C4C2,INV_SkyrimCloudDistant03_O,16,15,677,7335,160880,3916.1
STAT,0010C4C5,INV_SkyrimCloudDistant03,16,16,-19653,4913,116985,2680.0
SOUN,00021704,QSTWordWallWhisper2DLP,16,16,18149,-2228,140891,3500.7
ACTI,000F0039,CWMissionGeneratorTrigger,16,16,13172,19432,113123,2494.0
IDLM,0008B82C,FlowersIdleMarker,16,11,41482,-50184,96307,1692.3
FURN,0003F7C0,ChairInvisibleSingle,16,15,28087,31807,130163,2822.7
STAT,000ACB28,HagravenTusks02,16,11,-69061,-11739,121897,1073.0
STAT,000ACB29,HagravenTusks03,16,13,-90087,1133,107229,1108.3
STAT,000273C1,SkyrimCloudShape02_50,16,16,44933,16496,111509,2838.3
STAT,000A9296,GiantObeliskBlue01MountainSlab,16,11,40913,3670,78079,863.5
STAT,000533B7,StockadeScaffoldTop2Sided02,16,10,27877,-45348,141308,1423.1
STAT,00067169,WRWallRubblePile04,16,8,26728,-285,14938,15.1
MISC,00104B3F,BasicFork01,16,14,31996,-5744,122296,2474.0
CONT,0008A3B6,TreasCWSonsChest,16,16,27788,419,109943,2104.8
STAT,0001E681,NorTowerRuinsIntTopFloor01,16,14,-55541,-9224,111507,1353.1
ALCH,00064B31,FoodCheeseWedge01,16,15,19551,37480,115699,1895.4
MSTT,00097ED7,CivilWarBannerImp03,16,14,31253,-16728,100058,1407.4
STAT,0006F760,ImpExtIceBldgCorner01,16,9,-20847,42633,115067,1707.2
FLOR,0004DA07,FloraMushroom03Small,16,10,-71054,10422,93785,1298.7
STAT,00098496,NorExtWallBgStairL01Snow,16,13,-9261,36557,44336,265.6
STAT,000C2C1D,CrateSmall02Weathered_LightSN,16,11,112344,30288,76447,859.2
STAT,00028A87,NorTmpExtDebris05Snow,16,12,3680,36871,63285,693.1
STAT,000B2421,RoadChunkS04Snow,16,10,49240,82,108306,1787.7
STAT,000B2420,RoadChunkS03Snow,16,8,60726,36999,107443,1915.4
STAT,0004CECA,ImpExtTower03,16,13,35441,-44484,109248,1574.3
STAT,0003FF09,RockPileL03SnowRocks,16,14,81976,963,106133,1608.5
ARMO,00013954,ArmorSteelHelmetA,16,15,15991,-2910,114099,2408.4
STAT,0002A34C,StockadeWoodbeam01Light_SN,16,5,30927,-47422,52668,542.4
ACTI,0005095E,WordWallTrigger,16,16,17989,-2299,140992,3499.6
STAT,000302C7,NorBridgeWoodPlanks02,16,6,13718,-4026,83428,562.5
STAT,0001E685,NorTowerRuinsIntTopFloorStairs02,16,11,-54653,-10698,125474,1345.3
STAT,000609DC,NorExtWallBg1WayArch01snow,16,9,928,37507,65127,526.4
STAT,00036AC3,DweRubblePile05,16,11,-6486,-2868,161855,2220.0
STAT,0005E3F3,GlacierTrim02_LightSN,16,12,122219,103547,50125,359.2
STAT,000C5497,NorExtRubblePile04_LightSN,16,6,36689,28437,89425,963.4
